bird_reference	bird_shorthand	bird_shorthand_pt
508	AJAS	AJAS
509	AJAD	AJAD
510	ASAT	ASAT
511	AHAR	AHAR
512	ABAF	ABAF
513	ABAT	ABAT
514	ABAL	ABAL
515	AFAV	AFAV
516	ACAH	ACAH
517	ADAB	ADAB
518	BBAN	BBAN
519	AAAH	AAAH
520	AAAK	AAAK
521	AAAL	AAAL
522	AAAM	AAAM
523	AAAN	AAAN
524	AAAP	AAAP
525	AAAS	AAAS
526	AAAT	AAAT
527	AAAV	AAAV
528	ABAD	ABAD
529	ABAH	ABAH
530	ABAJ	ABAJ
531	ABAN	ABAN
532	ABAK	ABAK
533	ABAP	ABAP
534	ABAR	ABAR
535	ABAV	ABAV
536	ACAB	ACAB
537	ACAC	ACAC
538	ACAD	ACAD
539	ACAJ	ACAJ
540	ACAL	ACAL
541	ACAP	ACAP
542	ACAR	ACAR
543	ACAS	ACAS
544	ACAT	ACAT
545	ACAU	ACAU
546	ACAW	ACAW
547	ACAY	ACAY
548	ADAK	ADAK
549	ADAC	ADAC
550	ADAD	ADAD
551	ADAY	ADAY
552	ADAZ	ADAZ
553	AFAA	AFAA
554	AFAB	AFAB
555	AFAC	AFAC
556	AFAD	AFAD
557	AFAF	AFAF
558	AFAG	AFAG
559	AFAL	AFAL
560	AFAM	AFAM
561	AFAN	AFAN
562	AGAL	AGAL
563	AGAM	AGAM
564	AGAS	AGAS
565	AGAV	AGAV
566	AHAC	AHAC
567	AHAD	AHAD
568	AHAF	AHAF
569	AHAH	AHAH
570	AHAJ	AHAJ
571	AHAN	AHAN
572	AHAM	AHAM
573	ADAJ	ADAJ
574	ADAM	ADAM
575	BDAY	BDAY
576	ADAR	ADAR
577	ADAT	ADAT
578	ADAU	ADAU
579	ADAX	ADAX
580	AFAT	AFAT
581	AFAX	AFAX
582	AFAY	AFAY
583	AFAZ	AFAZ
584	AGAA	AGAA
585	AGAB	AGAB
586	AGAC	AGAC
587	AGAF	AGAF
588	AGAG	AGAG
589	AGAH	AGAH
590	AGAJ	AGAJ
591	AHAS	AHAS
592	AHAT	AHAT
593	AJAA	AJAA
594	AJAC	AJAC
595	AJAF	AJAF
596	AJAG	AJAG
597	AJAH	AJAH
598	AJAJ	AJAJ
599	AJAK	AJAK
600	AJAW	AJAW
601	AJAY	AJAY
602	AKAF	AKAF
603	AKAN	AKAN
604	AKAU	AKAU
605	AKAV	AKAV
606	AKAX	AKAX
607	AKAY	AKAY
608	ALAH	ALAH
609	ALAK	ALAK
610	ALAL	ALAL
611	ALAM	ALAM
612	ALAR	ALAR
613	ALAT	ALAT
614	ALAV	ALAV
615	ANAK	ANAK
616	ANAN	ANAN
617	ANAP	ANAP
618	ANAS	ANAS
619	ANAU	ANAU
620	ANAV	ANAV
621	ANAW	ANAW
622	APAD	APAD
623	APAG	APAG
624	APAH	APAH
625	APAJ	APAJ
626	BJAM	BJAM
627	BAAL	BAAL
628	APAL	APAL
629	APAM	APAM
630	APAT	APAT
631	APAU	APAU
632	ARAA	ARAA
633	ARAG	ARAG
634	ARAH	ARAH
635	ARAJ	ARAJ
636	ARAN	ARAN
637	ARAR	ARAR
638	ARAU	ARAU
639	ARAX	ARAX
640	ASAC	ASAC
641	ASAS	ASAS
642	ASAG	ASAG
643	ASAJ	ASAJ
644	ASAK	ASAK
645	AHAV	AHAV
646	AHAW	AHAW
647	AHAX	AHAX
648	AHAZ	AHAZ
649	ALAW	ALAW
650	ALAX	ALAX
651	TZAU	TZ.AU
652	TZAW	T.ZAW
653	TZAY	TZ.AY
654	TDAB	TDA.B
655	TDAC	T.DAC
656	TDAD	TD.AD
657	TDAF	TDA.F
658	TDAY	TDA.Y
659	TFAY	TF.AY
660	TGAY	T.GAY
661	PTAY	PT.AY
662	CRAR	C.RAR
663	PJAS	P.JAS
664	SFAN	SF.AN
665	UWAW	U.WAW
666	YPAV	YPA.V
667	YMAJ	YM.AJ
668	YPAK	YPA.K
669	UUAR	UU.AR
670	USAU	US.AU
671	UMAM	UM.AM
672	USAN	USA.N
673	SZAL	SZA.L
674	UTAB	UT.AB
675	UNAD	U.NAD
676	PJAT	PJ.AT
677	PJAR	PJA.R
678	YYAP	Y.YAP
679	EL52	EL52
680	YYAY	YYA.Y
681	YYAC	YYA.C
682	UNAW	U.NAW
683	YYAJ	YY.AJ
684	YYAR	YY.AR
685	UNAS	UNA.S
686	YPAZ	Y.PAZ
687	UXAZ	U.XAZ
688	UVAG	UVA.G
689	UXAU	UX.AU
690	UXAF	UX.AF
691	UWAD	U.WAD
692	UTAW	U.TAW
693	UWAZ	U.WAZ
694	UVAN	UVA.N
695	UWAR	UW.AR
696	YMAR	YM.AR
697	UUAF	UU.AF
698	YNAN	YNA.N
699	UTAC	UTA.C
700	UUAG	UUA.G
701	UVAK	UVA.K
702	UTAH	U.TAH
703	UZAV	UZA.V
704	UZAL	U.ZAL
705	UXAA	U.XAA
706	UWAC	UWA.C
707	UWAX	UW.AX
708	UWAV	UWA.V
709	UUAC	UUA.C
710	UVAJ	UV.AJ
711	UTAX	UT.AX
712	UXAP	U.XAP
713	UUAZ	U.UAZ
714	UTAS	UTA.S
715	UZAN	UZA.N
716	UWAM	UW.AM
717	UZAA	U.ZAA
718	UUAB	UU.AB
719	UTAN	UTA.N
720	UVAW	U.VAW
721	UXAL	U.XAL
722	UTAG	UTA.G
723	UXAX	UX.AX
724	UZAR	UZ.AR
725	UTAU	UT.AU
726	UXAW	U.XAW
727	UZAX	UZ.AX
728	UVAF	UV.AF
729	UZAZ	U.ZAZ
730	UVAC	UVA.C
731	UVAU	UV.AU
732	UXAV	UXA.V
733	UTAM	UT.AM
734	UVAV	UVA.V
735	UVAL	U.VAL
736	EAAA	EAAA
737	EAAE	EAAE
738	UXAB	UX.AB
739	UXAJ	UX.AJ
740	UTAA	U.TAA
741	UXAN	UXA.N
742	UVAS	UVA.S
743	UZAK	UZA.K
744	UXAM	UX.AM
745	UZAG	UZA.G
746	UZAU	UZ.AU
747	UVAT	U.VAT
748	UXAH	U.XAH
749	UWAP	U.WAP
750	UWAB	UW.AB
751	UVAP	U.VAP
752	UWAT	U.WAT
753	UZAJ	UZ.AJ
754	YPAJ	YP.AJ
755	UXAC	UXA.C
756	UUAA	U.UAA
757	YRAS	YRA.S
758	UUAN	UUA.N
759	UUAD	U.UAD
760	UZAD	U.ZAD
761	UXAT	U.XAT
762	UWAN	UWA.N
763	UVAA	U.VAA
