bird_reference	raw_KleurringNummer	bird_date_begin	bird_shorthand_pt
222	AAAB	1999-06-22T00:00:00Z	AAAB
223	AAAC	1999-06-22T00:00:00Z	AAAC
224	AAAD	1999-06-22T00:00:00Z	AAAD
225	AAAF	1999-06-22T00:00:00Z	AAAF
226	AAAG	1999-06-22T00:00:00Z	AAAG
227	ACAM	1999-07-02T00:00:00Z	ACAM
228	ACAN	1999-07-02T00:00:00Z	ACAN
229	ACAX	1999-07-02T00:00:00Z	ACAX
230	ABAG	1999-07-02T00:00:00Z	ABAG
231	ADAA	1999-07-07T00:00:00Z	ADAA
232	ADAL	1999-07-07T00:00:00Z	ADAL
233	ADAN	1999-07-07T00:00:00Z	ADAN
234	AFAH	1999-07-07T00:00:00Z	AFAH
235	AGAR	1999-07-07T00:00:00Z	AGAR
236	AGAT	1999-07-07T00:00:00Z	AGAT
237	AGAU	1999-07-07T00:00:00Z	AGAU
238	AGAW	1999-07-07T00:00:00Z	AGAW
239	AGAX	1999-07-07T00:00:00Z	AGAX
240	AGAZ	1999-07-07T00:00:00Z	AGAZ
241	AHAA	1999-07-07T00:00:00Z	AHAA
242	AHAB	1999-07-07T00:00:00Z	AHAB
243	AHAG	1999-07-07T00:00:00Z	AHAG
244	AJAL	1999-07-07T00:00:00Z	AJAL
245	AJAM	1999-07-07T00:00:00Z	AJAM
246	AJAN	1999-07-07T00:00:00Z	AJAN
247	ACAZ	1999-07-02T00:00:00Z	ACAZ
248	APAF	1999-07-07T00:00:00Z	APAF
249	APAN	1999-07-07T00:00:00Z	APAN
250	APAS	1999-07-07T00:00:00Z	APAS
251	APAW	1999-07-07T00:00:00Z	APAW
252	APAZ	1999-07-07T00:00:00Z	APAZ
253	ARAD	1999-07-07T00:00:00Z	ARAD
254	ARAF	1999-07-07T00:00:00Z	ARAF
255	ARAL	1999-07-07T00:00:00Z	ARAL
256	ARAM	1999-07-07T00:00:00Z	ARAM
257	ARAP	1999-07-07T00:00:00Z	ARAP
258	ARAS	1999-07-07T00:00:00Z	ARAS
259	ARAV	1999-07-07T00:00:00Z	ARAV
260	ARAW	1999-07-07T00:00:00Z	ARAW
261	ARAZ	1999-07-07T00:00:00Z	ARAZ
262	ASAA	1999-07-07T00:00:00Z	ASAA
263	ASAB	1999-07-07T00:00:00Z	ASAB
264	ASAL	1999-07-07T00:00:00Z	ASAL
265	ASAN	1999-07-07T00:00:00Z	ASAN
266	ASAD	1999-07-07T00:00:00Z	ASAD
267	ADAW	1999-07-07T00:00:00Z	ADAW
268	AFAJ	1999-07-07T00:00:00Z	AFAJ
269	AFAK	1999-07-07T00:00:00Z	AFAK
270	AFAR	1999-07-07T00:00:00Z	AFAR
271	AFAU	1999-07-07T00:00:00Z	AFAU
272	AGAP	1999-07-07T00:00:00Z	AGAP
273	AHAL	1999-07-07T00:00:00Z	AHAL
274	AJAT	1999-07-07T00:00:00Z	AJAT
275	AKAC	1999-07-07T00:00:00Z	AKAC
276	AKAL	1999-07-07T00:00:00Z	AKAL
277	AKAR	1999-07-07T00:00:00Z	AKAR
278	AKAW	1999-07-07T00:00:00Z	AKAW
279	AMAS	1999-07-07T00:00:00Z	AMAS
280	ANAA	1999-07-07T00:00:00Z	ANAA
281	ANAB	1999-07-07T00:00:00Z	ANAB
282	ANAM	1999-07-07T00:00:00Z	ANAM
283	APAK	1999-07-07T00:00:00Z	APAK
284	APAP	1999-07-07T00:00:00Z	APAP
285	APAY	1999-07-07T00:00:00Z	APAY
286	ARAC	1999-07-07T00:00:00Z	ARAC
287	ARAT	1999-07-07T00:00:00Z	ARAT
288	ASAF	1999-07-07T00:00:00Z	ASAF
289	AUAS	1999-07-09T00:00:00Z	AUAS
290	AUAZ	1999-07-09T00:00:00Z	AUAZ
291	AVAJ	1999-07-09T00:00:00Z	AVAJ
292	AVAU	1999-07-09T00:00:00Z	AVAU
293	BJAC	1999-07-09T00:00:00Z	BJAC
294	AXAF	1999-07-13T00:00:00Z	AXAF
295	AZAY	1999-07-20T00:00:00Z	AZAY
296	BUAC	2000-05-08T00:00:00Z	BUAC
297	BUAD	2000-05-08T00:00:00Z	BUAD
298	GZAZ	2007-06-06T00:00:00Z	G.ZAZ
299	BUAK	2000-05-12T00:00:00Z	BUAK
300	BUAP	2000-05-12T00:00:00Z	BUAP
301	BUAU	2000-05-19T00:00:00Z	BUAU
302	BUAX	2000-05-19T00:00:00Z	BUAX
303	BUAY	2000-05-19T00:00:00Z	BUAY
304	BVAA	2000-05-25T00:00:00Z	BVAA
305	BVAD	2000-05-25T00:00:00Z	BVAD
306	BVAF	2000-05-25T00:00:00Z	BVAF
307	BVAL	2000-05-25T00:00:00Z	BVAL
308	BVAS	2000-05-29T00:00:00Z	BVAS
309	BVAT	2000-05-29T00:00:00Z	BVAT
310	BVAW	2000-05-29T00:00:00Z	BVAW
311	BVAX	2000-05-29T00:00:00Z	BVAX
312	BVAZ	2000-05-30T00:00:00Z	BVAZ
313	BWAA	2000-05-30T00:00:00Z	BWAA
314	BWAB	2000-05-30T00:00:00Z	BWAB
315	BWAJ	2000-06-21T00:00:00Z	BWAJ
316	BWAL	2000-06-21T00:00:00Z	BWAL
317	BWAM	2000-06-21T00:00:00Z	BWAM
318	BWAN	2000-06-22T00:00:00Z	BWAN
319	BWAP	2000-06-22T00:00:00Z	BWAP
320	BUAF	2000-05-08T00:00:00Z	BUAF
321	GCAG	2007-05-24T00:00:00Z	GC.AG
322	BUAJ	2000-05-12T00:00:00Z	BUAJ
323	BUAL	2000-05-12T00:00:00Z	BUAL
324	BUAM	2000-05-12T00:00:00Z	BUAM
325	BUAN	2000-05-12T00:00:00Z	BUAN
326	BUAS	2000-05-12T00:00:00Z	BUAS
327	BUAT	2000-05-19T00:00:00Z	BUAT
328	BUAV	2000-05-19T00:00:00Z	BUAV
329	BUAW	2000-05-19T00:00:00Z	BUAW
330	BUAZ	2000-05-19T00:00:00Z	BUAZ
331	BVAB	2000-05-25T00:00:00Z	BVAB
332	BVAC	2000-05-25T00:00:00Z	BVAC
333	BVAG	2000-05-25T00:00:00Z	BVAG
334	BVAH	2000-05-25T00:00:00Z	BVAH
335	GHAV	2007-06-19T00:00:00Z	G.HAV
336	BVAK	2000-05-25T00:00:00Z	BVAK
337	BVAN	2000-05-29T00:00:00Z	BVAN
338	BVAP	2000-05-29T00:00:00Z	BVAP
339	BVAR	2000-05-29T00:00:00Z	BVAR
340	BVAV	2000-05-29T00:00:00Z	BVAV
341	BVAY	2000-05-30T00:00:00Z	BVAY
342	BWAC	2000-05-30T00:00:00Z	BWAC
343	BWAF	2000-06-08T00:00:00Z	BWAF
344	BWAG	2000-06-08T00:00:00Z	BWAG
345	BWAH	2000-06-08T00:00:00Z	BWAH
346	BWAK	2000-06-21T00:00:00Z	BWAK
347	ABAZ	1999-07-02T00:00:00Z	ABAZ
348	AAAZ	1999-07-02T00:00:00Z	AAAZ
349	BXAA	2000-07-06T00:00:00Z	BXAA
350	BXAC	2000-07-06T00:00:00Z	BXAC
351	BXAD	2000-07-06T00:00:00Z	BXAD
352	BXAF	2000-07-06T00:00:00Z	BXAF
353	BXAG	2000-07-06T00:00:00Z	BXAG
354	BXAH	2000-07-06T00:00:00Z	BXAH
355	BXAJ	2000-07-06T00:00:00Z	BXAJ
356	BXAK	2000-07-06T00:00:00Z	BXAK
357	BXAL	2000-07-06T00:00:00Z	BXAL
358	BXAM	2000-08-01T00:00:00Z	BXAM
359	BXAN	2000-08-01T00:00:00Z	BXAN
360	BXAP	2000-08-01T00:00:00Z	BXAP
361	BXAR	2000-08-01T00:00:00Z	BXAR
362	BXAS	2000-08-01T00:00:00Z	BXAS
363	BXAT	2000-08-01T00:00:00Z	BXAT
364	BXAU	2000-08-01T00:00:00Z	BXAU
365	BXAV	2000-08-01T00:00:00Z	BXAV
366	BWAR	2000-06-22T00:00:00Z	BWAR
367	CAAK	2001-01-24T00:00:00Z	CAAK
368	CAAL	2001-01-24T00:00:00Z	CAAL
369	CAAM	2001-01-24T00:00:00Z	CAAM
370	CAAN	2001-01-24T00:00:00Z	CAAN
371	CAAP	2001-01-24T00:00:00Z	CAAP
372	CAAR	2001-01-24T00:00:00Z	CAAR
373	CAAS	2001-01-24T00:00:00Z	CAAS
374	CAAT	2001-01-24T00:00:00Z	CAAT
375	CAAU	2001-01-24T00:00:00Z	CAAU
376	CAAV	2001-02-02T00:00:00Z	CAAV
377	CAAW	2001-02-02T00:00:00Z	CAAW
378	CAAX	2001-02-02T00:00:00Z	CAAX
379	CAAY	2001-02-02T00:00:00Z	CAAY
380	CAAZ	2001-02-02T00:00:00Z	CAAZ
381	BWAS	2001-02-02T00:00:00Z	BWAS
